Task Name,% Completed,Actual Cost,Actual Revenue,Associated Team,Billable Hours,Billing Type,Budget Balance,Completion Date,Cost Variance,Created By,Created Time,Critical Task,Custom Status,Dependency status,Difference,Due Date,Duration,Duration Type,Earned Value,Forecasted Cost,Forecasted Hours,Forecasted Revenue,Individual Work,Non Billable Hours,Owner,Parent Task ID,Parent Task Name,Parent Task System ID,Phase End Date,Phase Name,Phase Start Date,Planned Cost,Planned Revenue,Planned Value,Predecessors,Priority,Project Group,Project ID,Project Name,Project Status,Schedule Status,Schedule Variance,Start Date,Successors,Tags,Task Comment,Task Description,Task ID,Task List ID,Task List Name,Task System ID,Task URL,Total Log Hours,Work Hours Per Owner,Work Hours Unit,Work hours
Consent Forms,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:39 PM (EDT)",No,In Progress,Independent Tasks,00:00,"November 22, 2024 6:00 PM (EST)",37,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T47,Confirm Compliance,2350689000000131049,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,Medium,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 17, 2024 9:00 AM (EDT)",,"""Consent Forms"",""Employee Documentation Management"",""HR Implementation Plan"",""Audits"",""In Progress"",""Active""",,"This task involves the preparation and management of consent forms as part of the HR Implementation Plan. It is currently in progress and is designated as an independent task within the Employee Documentation Management task list. The task is scheduled to start on October 17, 2024, and is due by November 22, 2024.",HI2-T55,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131117,0:00,0,hrs,240:00
Create Procedure and Policy,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:36 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"October 31, 2024 6:00 PM (EDT)",30,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,In Progress,-,"February 10, 2024 9:00 AM (EST)",,"""Procedure"",""Policy"",""HR Implementation"",""Documentation"",""In Progress"",""Cody Rice-Velasquez""",,"This task involves creating procedures and policies as part of the HR Implementation Plan. It is currently in progress and is designated as a critical task with a focus on employee documentation management. The task is scheduled to be completed by October 31, 2024, and is independent of other tasks.",HI2-T48,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131057,0:00,0,hrs,240:00
Implement and Make Corrections,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:36 PM (EDT)",No,In Progress,Independent Tasks,00:00,"July 11, 2024 6:00 PM (EDT)",45,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T48,Create Procedure and Policy,2350689000000131057,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,In Progress,-,"September 24, 2024 9:00 AM (EDT)",,"""HR Implementation"",""Employee Documentation Management"",""In Progress"",""Cody Rice-Velasquez"",""Audits"",""Active""",,"This task involves implementing and making necessary corrections within the Employee Documentation Management framework as part of the HR Implementation Plan. It is currently in progress, with a focus on ensuring that all procedures and policies are updated and accurate before the due date.",HI2-T49,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131065,0:00,0,hrs,00:00
Policies: Diversity and Inclusion Policy,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:37 PM (EDT)",Yes,In Review,Independent Tasks,00:00,"October 27, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T51,Update and propose updated handbook and policies,2350689000000131085,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 27, 2024 9:00 AM (EDT)",,"""Diversity"",""Inclusion"",""HR"",""Policies"",""Employee Handbook"",""Review"",""Cody Rice-Velasquez""",,"This task involves reviewing and updating the Diversity and Inclusion Policy as part of the HR Implementation Plan. The review process is currently in progress, and it is crucial to ensure that the policy aligns with the organization's commitment to fostering a diverse and inclusive workplace. The task is critical and is scheduled to be completed by October 27, 2024.",HI2-T52,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131093,0:00,0,hrs,08:00
Review Employee Handbook Compliance,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:37 PM (EDT)",No,In Progress,Independent Tasks,00:00,"October 16, 2024 6:00 PM (EDT)",16,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,In Progress,-,"January 10, 2024 9:00 AM (EST)",,"""Employee Handbook"",""Compliance"",""HR Implementation"",""In Progress"",""Audit"",""Cody Rice-Velasquez""",,"The task involves reviewing the compliance of the Employee Handbook as part of the HR Implementation Plan. It is currently in progress, with a start date of January 10, 2024, and a due date of October 16, 2024. This task is independent, assigned to Cody Rice-Velasquez, and is part of a broader audit project aimed at ensuring adherence to established policies and procedures.",HI2-T50,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131077,0:00,0,hrs,16:00
Update and propose updated handbook and policies,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:37 PM (EDT)",No,In Progress,Independent Tasks,00:00,"October 31, 2024 6:00 PM (EDT)",5,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 27, 2024 9:00 AM (EDT)",,"""Update"",""Handbook"",""Policies"",""HR Implementation"",""Cody Rice-Velasquez"",""In Progress"",""Upcoming"",""Active""",,"The task involves updating and proposing revisions to the employee handbook and associated policies. This is an in-progress initiative led by the HR Implementation Team, with a focus on ensuring that the handbook aligns with current practices and legal requirements. The task is scheduled for completion by October 31, 2024, and is critical for maintaining compliance and employee engagement within the organization.",HI2-T51,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131085,0:00,0,hrs,120:00
Policies: Americans with Disabilities (Reasonable Accommodation Procedure),0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:40 PM (EDT)",Yes,In Review,Independent Tasks,00:00,"October 27, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T51,Update and propose updated handbook and policies,2350689000000131085,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 27, 2024 9:00 AM (EDT)",,"""Americans with Disabilities"",""Reasonable Accommodation"",""HR Implementation"",""Policies"",""Employee Handbook"",""In Review""",,"This task involves reviewing and proposing updates to the Americans with Disabilities Reasonable Accommodation Procedure as part of the HR Implementation Plan. The task has a critical priority level and is currently under review, with a planned start date of October 27, 2024, and a corresponding phase start date on November 8, 2024.",HI2-T59,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131153,0:00,0,hrs,08:00
Policies: Equal Employment Opportunity EEO,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:38 PM (EDT)",Yes,In Review,Independent Tasks,00:00,"October 27, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T51,Update and propose updated handbook and policies,2350689000000131085,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 27, 2024 9:00 AM (EDT)",,"""Equal Employment Opportunity"",""HR Policies"",""Employee Handbook"",""In Review"",""Cody Rice-Velasquez"",""Upcoming""",,"This task involves reviewing and proposing updates to the Equal Employment Opportunity (EEO) policies as part of the HR Implementation Plan. It is categorized as a critical task with an upcoming schedule, requiring collaboration from the HR Implementation Team. The task is currently in review and has a completion status of 0%.",HI2-T53,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131101,0:00,0,hrs,08:00
2.4.2 Reporting Procedures,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:41 PM (EDT)",No,In Review,Independent Tasks,00:00,"November 30, 2024 6:00 PM (EST)",30,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T60,Policies: 2.4 Anti-Discrimination and Harassment Policy*,2350689000000131163,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,Medium,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"January 11, 2024 9:00 AM (EST)",,"""HR Implementation"",""Reporting Procedures"",""Policies"",""Employee Handbook"",""In Review""",,"The task involves developing and finalizing the reporting procedures for the Employee Handbook and Policies, specifically focusing on the Anti-Discrimination and Harassment Policy. It is currently under review and is scheduled to take place over a duration of 30 days, starting on January 11, 2024, and is due by November 30, 2024. The task is critical for ensuring compliance and fostering a safe work environment.",HI2-T61,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131171,0:00,0,hrs,240:00
Policies: 2.4 Anti-Discrimination and Harassment Policy*,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:41 PM (EDT)",Yes,In Review,Independent Tasks,00:00,"October 27, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T51,Update and propose updated handbook and policies,2350689000000131085,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 27, 2024 9:00 AM (EDT)",,"""Anti-Discrimination"",""Harassment"",""HR Policies"",""Employee Handbook"",""Review""",,"This task involves reviewing and updating the Anti-Discrimination and Harassment Policy as part of the HR Implementation Plan. The policy is currently in review status and is critical to the employee handbook, with a due date set for October 27, 2024. The owner, Cody Rice-Velasquez, will oversee the task, which is classified as an independent task within the audits project group.",HI2-T60,2350689000000131000,Employee Handbook & Policies,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131163,0:00,0,hrs,08:00
Make Corrections,0,-,-,I9 Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:36 PM (EDT)",No,On Hold,Independent Tasks,00:00,"October 31, 2024 6:00 PM (EDT)",31,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,Medium,Audits,QU-5,HR Implementation Plan,Active,In Progress,-,"January 10, 2024 9:00 AM (EST)",,"""Corrections"",""I9 Compliance"",""HR Implementation"",""Audit"",""Active""",,"This task involves making corrections as part of the I9 Audit and Compliance project. It is currently on hold, with a start date of January 10, 2024, and a due date set for October 31, 2024. The task is managed by Cody Rice-Velasquez and is categorized as an independent task within the active HR Implementation Plan project.",HI2-T45,2350689000000056000,I9 Audit and Compliance,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055695/2350689000000131033,0:00,0,hrs,240:00
Identify Compliance Gaps,0,-,-,"I9 Compliance Team, HR Implementation Team",0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:35 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"September 27, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"September 27, 2024 9:00 AM (EDT)",,"""I9 Compliance"",""Audit"",""HR Implementation"",""In Progress"",""Active"",""Critical Task""",,"The task involves identifying compliance gaps related to I9 regulations as part of the HR Implementation Plan. It is assigned to the I9 Compliance Team and HR Implementation Team, with Cody Rice-Velasquez as the owner. The task is currently in progress and is critical, with a due date set for September 27, 2024. The task is categorized under audits and is marked as overdue.",HI2-T43,2350689000000056000,I9 Audit and Compliance,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055695/2350689000000131017,0:00,0,hrs,08:00
Policies: BGCK Procedures,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 9:09 PM (EDT)",Yes,On Hold,Independent Tasks,,,-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T51,Update and propose updated handbook and policies,2350689000000131085,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,,,"""HR"",""Policies"",""Employee Handbook"",""Cody Rice-Velasquez"",""Active"",""On Hold""",,"This task involves updating and proposing revisions to the employee handbook and policies as part of the HR Implementation Plan. The project is currently on hold, with a critical status indicating its importance. The task has not yet begun, as indicated by a 0% completion rate and no logged hours.",HI2-T77,2350689000000131000,Employee Handbook & Policies,2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131073/2350689000000131673,0:00,0,hrs,00:00
Develop Accident Reporting Procedures,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:01 AM (EST)",No,In Progress,Independent Tasks,00:00,"November 14, 2024 6:00 PM (EST)",8,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"July 11, 2024 9:00 AM (EDT)",,"""Accident Reporting"",""Safety Compliance"",""HR Implementation"",""Workers Compensation"",""Project Management""",,"The task involves developing comprehensive accident reporting procedures aimed at enhancing workplace safety and compliance. It is categorized under the Workers Comp and Safety Team and is currently in progress. The completion of this task is essential for the HR Implementation Plan and aligns with the project's active status, highlighting its importance in maintaining safety standards within the organization.",HI2-T18,2350689000000055300,Accident Reporting and Safety Compliance,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055551/2350689000000055639,0:00,0,hrs,72:00
Implement Safety Incident Reporting System,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:02 AM (EST)",Yes,In Progress,Independent Tasks,00:00,"December 31, 2024 6:00 PM (EST)",61,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"January 11, 2024 9:00 AM (EST)",,"""Safety"",""Incident Reporting"",""HR Implementation"",""Compliance"",""In Progress""",,"The task involves implementing a Safety Incident Reporting System as part of the HR Implementation Plan. This project, led by Cody Rice-Velasquez, aims to enhance accident reporting and ensure safety compliance within the organization. Currently in progress, the task is critical to the project's success and is scheduled to be completed by December 31, 2024.",HI2-T20,2350689000000055300,Accident Reporting and Safety Compliance,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055551/2350689000000055655,0:00,0,hrs,240:00
Identify Process Gaps,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:55 PM (EDT)",No,On Hold,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","04. Performance, Attendance and Labor Laws (Payroll)","November 8, 2024 12:00 AM (EST)",-,-,-,,Medium,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Identify Process Gaps"",""HR Implementation"",""Cody Rice-Velasquez"",""On Hold"",""November 2024"",""Hiring and Recruitment"",""Active""",,"The task ""Identify Process Gaps"" involves assessing the current hiring and recruitment processes within the HR Implementation Plan. This task is critical for identifying inefficiencies and areas for improvement, ensuring a streamlined approach to recruitment. Currently, it is on hold, with a planned duration of 30 days, starting November 1, 2024, and due by November 30, 2024.",HI2-T68,2350689000000056000,Hiring and Recruitment Processes,2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055559/2350689000000131477,0:00,0,hrs,00:00
Propose Hiring and Recruitment Procedures,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:55 PM (EDT)",No,In Progress,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","04. Performance, Attendance and Labor Laws (Payroll)","November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Hiring"",""Recruitment"",""HR"",""Implementation"",""Project Management"",""In Progress""",,"The task involves proposing hiring and recruitment procedures as part of the HR Implementation Plan. It is currently in progress and is assigned to the HR Implementation Team, led by Cody Rice-Velasquez. The task is scheduled to begin on November 1, 2024, and is due by November 30, 2024, with an emphasis on developing effective processes to enhance recruitment efforts.",HI2-T69,2350689000000056000,Hiring and Recruitment Processes,2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055559/2350689000000131485,0:00,0,hrs,00:00
Offer InnovaHire Service,0,-,-,"InnovaHire Team, Workers Comp and Safety Team",0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:55 PM (EDT)",No,In Review,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","04. Performance, Attendance and Labor Laws (Payroll)","November 8, 2024 12:00 AM (EST)",-,-,-,,Low,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Offer"",""InnovaHire"",""HR Implementation"",""Recruitment"",""Active""",,"The task involves offering the InnovaHire service as part of the HR Implementation Plan. It is currently in the review phase and aims to enhance hiring and recruitment processes. The task is assigned to the InnovaHire Team and is expected to be completed by November 30, 2024.",HI2-T70,2350689000000056000,Hiring and Recruitment Processes,2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055559/2350689000000131493,0:00,0,hrs,00:00
Document Filing Procedures and Deadlines,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 3:58 AM (EST)",No,In Progress,Independent Tasks,00:00,"November 30, 2024",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","06. Finalize Implementation, Report, Review","November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"November 1, 2024",,"""Document Filing"",""HR Implementation"",""Deadlines"",""Government Filings"",""Audits"",""In Progress"",""Active""",,"This task involves filing necessary government documentation as part of the HR Implementation Plan, with a current status of ""In Progress"" and a due date of November 30, 2024. The task is critical for compliance and requires collaboration with the HR Implementation Team to ensure all filings are completed accurately and on time.",HI2-T11,2350689000000056000,Government Filings and Reporting,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055563/2350689000000055575,0:00,0,hrs,08:00
Identify Required Government Filings,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 3:58 AM (EST)",Yes,In Progress,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","06. Finalize Implementation, Report, Review","November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Government Filings"", ""Compliance"", ""HR Implementation"", ""Regulations"", ""Stakeholder Collaboration"", ""Audits""",,"This task involves identifying the necessary government filings required for the HR Implementation Plan. The HR Implementation Team, led by Cody Rice-Velasquez, is currently working on this critical task, which is in progress and due by November 30, 2024. The task is deemed independent and is essential for compliance within the project timeline.",HI2-T10,2350689000000056000,Government Filings and Reporting,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055563/2350689000000055567,0:00,0,hrs,72:00
BOIR,0,-,-,I9 Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"September 26, 2024 9:53 PM (EDT)",Yes,Verification,Independent Tasks,00:00,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T10,Identify Required Government Filings,2350689000000055567,"November 8, 2024 11:59 PM (EST)","06. Finalize Implementation, Report, Review","November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Government Filings"",""Compliance"",""HR Implementation"",""Verification"",""Active"",""Cody Rice-Velasquez""",,"This task involves the verification process related to the HR Implementation Plan, specifically focusing on identifying required government filings. The task is critical and operates independently within the project timeline, starting on November 1, 2024, and concluding by November 30, 2024. The responsible owner is Cody Rice-Velasquez, and the associated team is the I9 Compliance Team.",HI2-T79,2350689000000056000,Government Filings and Reporting,2350689000000278000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055563/2350689000000278019,0:00,0,hrs,00:00
Develop and Communicate Benefits Packages to Employees,0,-,-,Benefits Tean,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 3:59 AM (EST)",No,In Progress,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",05. Insurance and Benefits Options,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Benefits"",""Employee Communication"",""HR"",""Insurance"",""Project Management""",,This task involves developing and communicating comprehensive benefits packages to employees. It aims to ensure that all team members are well-informed about their benefits and can make the best use of them. The task is currently in progress and is a critical component of the HR Implementation Plan.,HI2-T13,2350689000000056000,Insurance and Benefits Administration,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055591/2350689000000055595,0:00,0,hrs,72:00
Report,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 3:59 AM (EST)",No,On Hold,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","06. Finalize Implementation, Report, Review","November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""Government Filings"",""Reporting"",""HR Implementation"",""Compliance"",""Audits""",,"This task involves the preparation and submission of government filings and reports as part of the HR Implementation Plan. Currently on hold, the task is assigned to Cody Rice-Velasquez and is scheduled to start on November 1, 2024. The task is independent and falls under the Audits project group, with a focus on ensuring compliance with regulatory requirements.",HI2-T12,2350689000000056000,Government Filings and Reporting,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055563/2350689000000055583,0:00,0,hrs,00:00
Implement,0,-,-,InnovaFlow AIT,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:58 PM (EDT)",No,On Hold,Independent Tasks,00:00,"October 21, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","06. Finalize Implementation, Report, Review","November 8, 2024 12:00 AM (EST)",-,-,-,,None,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 21, 2024 9:00 AM (EDT)",,"""HRIS"",""Implementation"",""InnovaFlow AIT"",""Cody Rice-Velasquez"",""On Hold"",""Audits"",""Active""",,"This task involves the implementation of the HRIS (Human Resource Information System) as part of the HR Implementation Plan. Currently on hold, it is scheduled to begin on October 21, 2024, with a duration of one day. The associated team is InnovaFlow AIT, and the task owner is Cody Rice-Velasquez. The project is classified as active and independent of other tasks.",HI2-T76,2350689000000131600,HRIS Implementation,2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131581/2350689000000131601,0:00,0,hrs,08:00
Report,0,-,-,Benefits Tean,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 3:59 AM (EST)",No,On Hold,Independent Tasks,,"November 30, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",05. Insurance and Benefits Options,"November 8, 2024 12:00 AM (EST)",-,-,-,,Medium,Audits,QU-5,HR Implementation Plan,Active,-,-,"November 1, 2024",,"""HR Implementation"",""Insurance"",""Benefits"",""Employee Programs"",""Compliance"",""Management""",,"This task involves the administration of insurance and benefits as part of the HR Implementation Plan. Currently on hold, the task is owned by Cody Rice-Velasquez and has a scheduled phase start on November 8, 2024. It is classified as an independent task within the Audits project group, with zero billable hours logged to date.",HI2-T14,2350689000000056000,Insurance and Benefits Administration,2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055591/2350689000000055603,0:00,0,hrs,00:00
Propose Solutions,0,-,-,InnovaFlow AIT,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:58 PM (EDT)",No,Verification,Independent Tasks,00:00,"October 15, 2024 6:00 PM (EDT)",45,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)","06. Finalize Implementation, Report, Review","November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"January 9, 2024 9:00 AM (EST)",,"""HRIS"",""Implementation"",""InnovaFlow AIT"",""Cody Rice-Velasquez"",""Verification"",""Active"",""Overdue"",""Audits""",,"This task involves proposing solutions for the HRIS implementation project, which is currently in the verification stage. The task is overseen by Cody Rice-Velasquez and is critical to the overall HR Implementation Plan. It is overdue and requires immediate attention to ensure timely completion by the due date of October 15, 2024.",HI2-T75,2350689000000131600,HRIS Implementation,2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000131581/2350689000000131593,0:00,0,hrs,240:00
